number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,s1_selected,s2_selected,s3_selected,no_selected,vselec_method,s1_prop,s2_prop,s3_prop
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,0,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,0,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,0,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,0,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,0,AIC,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,AIC,1,1,1
