number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,s1_selected,s2_selected,s3_selected,no_selected,cv_lambda,vselec_method,s1_prop,s2_prop,s3_prop
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.01816940702282152,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.014285689258041682,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,0.02132883446929541,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.005038831029839593,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.006408691260650363,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.011232117664654304,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.02132883446929541,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.012169558683788826,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.011232117664654304,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.005915019285946335,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.00956831081750475,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.02132883446929541,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.01816940702282152,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,0.03738173188026989,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.025037645931273767,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.014285689258041686,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.005038831029839593,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,1.2588003452053502e-15,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,9.134906650283707e-16,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.019685839448573526,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.025037645931273767,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,5.523859724622305e-17,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.023108955094702267,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.025037645931273764,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.00883124817807592,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.019685839448573526,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.025037645931273767,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.014285689258041684,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,0.025037645931273767,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.007523080686757891,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,3.7823270572213707e-16,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.02132883446929541,Lasso,1,1,1
