number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,1,1.30802558538763,1.17114383651351,1.1227666218897,1.22616488790294,1.29190457373578,6.14918602445938,6.23034585938114,4.15999482978817,6.86472318651325,6.0741221806892,461.69534405747
1,100,50,0.3,1,close,5,4,4,4,4,4,20,6,1,1.30802558538763,1.17114383651351,1.1227666218897,1.22616488790294,1.29190457373578,6.14918602445938,6.23034585938114,4.15999482978817,6.86472318651325,6.0741221806892,461.69534405747
1,100,50,0.3,1,close,5,4,4,4,4,4,20,7,1,1.26026643340302,1.13752434432155,1.06260425374505,1.23858446358494,1.21917306106385,6.72241544989856,6.39617528757264,4.16883652915284,6.96225572539338,6.02886843197234,448.081421822779
1,100,50,0.3,1,close,5,4,4,4,4,4,20,8,1,1.26199419749385,1.13454129201782,1.01286032198613,1.17601015050828,1.18318999341277,6.96211998307851,6.73364500761079,4.38109019590067,7.14591445846374,6.21858849411732,437.076869359988
1,100,50,0.3,1,close,5,4,4,4,4,4,20,9,1,1.24007580236551,1.12512553635737,0.98982081596161,1.14347311377901,1.15984344929982,7.14375961298304,6.84907499494599,4.71876877831384,6.67577007045386,6.20106583077863,424.902975591377
1,100,50,0.3,1,close,5,4,4,4,4,4,20,10,1,1.2294451762321,1.08745184005516,0.969738382378762,1.116911240418,1.14554698646763,7.36192076046726,6.99565241217308,4.86445958906672,6.70215119751232,6.27119144529229,415.059377650262
1,100,50,0.3,1,close,5,4,4,4,4,4,20,11,1,1.24928304627687,1.04995712681831,0.933687063373383,1.07353947491411,1.07967345908294,8.19718091675519,6.91644271385068,4.71351278661838,6.77866715972196,6.12850605589413,405.30633087437
1,100,50,0.3,1,close,5,4,4,4,4,4,20,12,1,1.20433667909551,1.00537817877227,0.93633704110584,1.03750473530839,1.03970718312225,8.36688048238383,6.34909716650916,4.99841358216245,6.45763745915544,5.84628069816678,396.534536150309
1,100,50,0.3,1,close,5,4,4,4,4,4,20,13,1,1.21105668642773,0.97864144871738,0.852996286595105,1.01373703055771,0.978713395948376,8.38609362262562,6.42792661407557,4.78624466606537,6.25287044207843,5.6724236847876,387.234225409397
1,100,50,0.3,1,close,5,4,4,4,4,4,20,14,1,1.20917061529037,0.963665955779592,0.836345398978413,1.02195548565325,0.982529757489902,8.76946693030061,6.90550997392546,4.7920190807845104,6.70103762020837,5.5602510329075,378.267625989691
1,100,50,0.3,1,close,5,4,4,4,4,4,20,15,1,1.16958802084939,0.948994492852158,0.819605108701647,0.990267641428242,1.00998624834312,8.40755934952795,6.84122717258719,4.75391219032538,6.41135696934285,5.94517305527527,370.4777917912
1,100,50,0.3,1,close,5,4,4,4,4,4,20,16,1,1.15956684686561,0.95630313439276,0.818813266731725,0.949010332707589,0.964171946762704,8.50076650046855,7.16990563757984,4.95541230374659,6.23588189439489,5.6151428963318,362.279757402281
1,100,50,0.3,1,close,5,4,4,4,4,4,20,17,1,1.12823192894027,0.981214709067667,0.820576256961575,0.956897637013977,0.937037697846798,8.1080675263483,7.50033411455911,5.16072721231199,6.63592894798311,5.57757295459909,354.775005566069
1,100,50,0.3,1,close,5,4,4,4,4,4,20,18,1,1.11335988079677,0.977327579716978,0.817052827477544,0.977632033640555,0.919551619155909,8.20585107937282,7.50899954986626,5.1914517618835,6.81431449393162,5.64652692509443,348.821398372044
1,100,50,0.3,1,close,5,4,4,4,4,4,20,19,1,1.06766832531891,0.996508351777809,0.816358979146329,0.967912113893253,0.900647396489378,7.61837098650761,7.63336903990366,5.14794372066832,6.92277892703506,5.5892929056092,341.636801575718
1,100,50,0.3,1,close,5,4,4,4,4,4,20,20,1,1.05732403198635,1.00188499048276,0.828240530330318,0.931413571654806,0.892617227678647,7.67979310577814,7.53128749901364,5.19493579172533,6.64615621726014,5.5427669465281,334.346436903598
1,100,50,0.3,1,close,5,4,4,4,4,4,20,21,1,1.05664229133242,0.980895398845838,0.869836375485316,0.927246803990248,0.898422045844494,7.83759544928172,7.29386108651502,5.35823893124976,6.67910317266353,5.81623741270785,328.466781631548
1,100,50,0.3,1,close,5,4,4,4,4,4,20,22,1,1.07590689683786,0.988311779332678,0.857668656015485,0.949927480989836,0.879285178156521,8.11254548686246,7.4064916534748,5.42276099962608,6.96076532309809,6.18354897220905,321.413574213088
1,100,50,0.3,1,close,5,4,4,4,4,4,20,23,1,1.09105741960298,0.963511677631902,0.855412892631561,0.939383584877145,0.913197891981194,8.50147974183198,7.04599616804703,5.27707029434282,6.92548617234629,6.92863059772633,313.750290887444
1,100,50,0.3,1,close,5,4,4,4,4,4,20,24,1,1.09519246587272,0.954620594733639,0.878864753751409,0.91438998774769,0.926820855439524,8.65549571286032,6.77876722254162,5.52496980027703,6.794885007646,7.17904192528972,307.743054672824
1,100,50,0.3,1,close,5,4,4,4,4,4,20,25,1,1.13440707772175,0.969462876073547,0.914965224492839,0.937954041097707,0.975618909710753,9.21656007874305,6.83422293228062,6.0057324011568,7.01800335281964,7.43143577544033,300.891340966772
1,100,50,0.3,1,close,5,4,4,4,4,4,20,26,1,1.14087720854205,0.96705570761363,0.894486658304724,0.948096146177704,0.963854225380305,9.43681693344085,6.88554309398602,5.89077161159141,7.14476188025043,7.26000778675837,295.670505999781
1,100,50,0.3,1,close,5,4,4,4,4,4,20,27,1,0.906974293305667,0.828567726357203,0.736558682215915,0.899260672937031,0.795054988363285,6.18921896428018,5.1513601835192,3.73671073607929,6.14309412148965,4.95782160284203,195.320823731596
1,100,50,0.3,1,close,5,4,4,4,4,4,20,28,1,0.730453148402663,0.654154951879624,0.666597349809989,0.749900249121211,0.707609893946417,4.38397503262575,3.04194472511751,3.31103499740532,4.14690680774563,3.76251852329175,140.37645649513
1,100,50,0.3,1,close,5,4,4,4,4,4,20,29,1,0.610978606754056,0.542483343946725,0.684638862928333,0.611900596712999,0.62707852920783,3.06033693975035,2.19020044145868,3.13146835508027,2.87546868137851,2.94509207281851,106.132499370341
