number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,5,1.30802558538763,1.17114383651351,1.1227666218897,1.22616488790294,1.29190457373578,6.14918602445938,6.23034585938114,4.15999482978817,6.86472318651325,6.0741221806892,461.69534405747
1,100,50,0.3,1,close,5,4,4,4,4,4,20,6,5,1.30802558538763,1.17114383651351,1.1227666218897,1.22616488790294,1.29190457373578,6.14918602445938,6.23034585938114,4.15999482978817,6.86472318651325,6.0741221806892,461.69534405747
1,100,50,0.3,1,close,5,4,4,4,4,4,20,7,5,1.25724360553484,1.0422896805339,1.04225558794913,1.11605099073646,1.28146544721181,5.52299299894533,5.23394182343515,3.4592954244101,5.40934842797725,5.71042825694021,397.29072059056
1,100,50,0.3,1,close,5,4,4,4,4,4,20,8,5,1.126234845024,0.95161525191924,1.0924123834687,1.11186884986412,1.21858260312649,4.51448158214824,3.83373091046284,3.67779600000761,4.50074869019243,5.28867089500623,330.502065440339
1,100,50,0.3,1,close,5,4,4,4,4,4,20,9,5,1.06919787410973,0.88016584054787,1.06382988982678,1.04570489459048,1.17377646676584,4.25821233350506,3.47954094955482,3.2497153007686,4.12067620955611,4.45821418554514,285.894068913621
1,100,50,0.3,1,close,5,4,4,4,4,4,20,10,5,1.0689507552952,0.790315868719865,0.979144359534465,0.984923403538321,1.09061546684633,4.22644228206049,2.82003356766977,3.06305539543405,3.5146985149347,3.86598800433709,251.576641571035
1,100,50,0.3,1,close,5,4,4,4,4,4,20,11,5,0.988536243594992,0.78225195675589,0.935277081260666,0.969113042878383,1.03077255207621,3.81935302794105,2.92145037865442,2.96788755534531,3.36860754996329,3.5093784506191,221.247938975182
1,100,50,0.3,1,close,5,4,4,4,4,4,20,12,5,0.964867759753615,0.813339304032865,0.891854550151632,0.947198730541435,1.00530223479967,3.80911206799871,2.76255042454215,3.05507671275379,3.31397241622304,3.71124799206457,197.542840950697
1,100,50,0.3,1,close,5,4,4,4,4,4,20,13,5,0.951883773005454,0.785798271334082,0.866772650955956,0.894842923962027,0.913785131258032,3.795985644794,2.87236042726611,2.94908954422968,3.05864134551133,3.44537614556035,178.621401913993
1,100,50,0.3,1,close,5,4,4,4,4,4,20,14,5,0.919909412218081,0.748884830608749,0.822663628318528,0.826667035686237,0.86039606033664,3.81168723138212,2.6998941379658,2.81962453313918,2.67127772378245,3.38818386857964,159.525303579131
