Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3
1,100,50,0.3,1,close,5,4,4,4,4,4,20
2,100,100,0.3,1,close,5,4,4,4,4,4,20
3,100,200,0.3,1,close,5,4,4,4,4,4,20
4,100,300,0.3,1,close,5,4,4,4,4,4,20
5,100,50,0.5,1,close,5,4,4,4,4,4,20
6,100,100,0.5,1,close,5,4,4,4,4,4,20
7,100,200,0.5,1,close,5,4,4,4,4,4,20
8,100,300,0.5,1,close,5,4,4,4,4,4,20
9,100,50,0.7,1,close,5,4,4,4,4,4,20
10,100,100,0.7,1,close,5,4,4,4,4,4,20
11,100,200,0.7,1,close,5,4,4,4,4,4,20
12,100,300,0.7,1,close,5,4,4,4,4,4,20
13,100,50,0.3,2,close,5,4,4,4,4,4,20
14,100,100,0.3,2,close,5,4,4,4,4,4,20
15,100,200,0.3,2,close,5,4,4,4,4,4,20
16,100,300,0.3,2,close,5,4,4,4,4,4,20
17,100,50,0.5,2,close,5,4,4,4,4,4,20
18,100,100,0.5,2,close,5,4,4,4,4,4,20
19,100,200,0.5,2,close,5,4,4,4,4,4,20
20,100,300,0.5,2,close,5,4,4,4,4,4,20
21,100,50,0.7,2,close,5,4,4,4,4,4,20
22,100,100,0.7,2,close,5,4,4,4,4,4,20
23,100,200,0.7,2,close,5,4,4,4,4,4,20
24,100,300,0.7,2,close,5,4,4,4,4,4,20
25,100,50,0.3,3,close,5,4,4,4,4,4,20
26,100,100,0.3,3,close,5,4,4,4,4,4,20
27,100,200,0.3,3,close,5,4,4,4,4,4,20
28,100,300,0.3,3,close,5,4,4,4,4,4,20
29,100,50,0.5,3,close,5,4,4,4,4,4,20
30,100,100,0.5,3,close,5,4,4,4,4,4,20
31,100,200,0.5,3,close,5,4,4,4,4,4,20
32,100,300,0.5,3,close,5,4,4,4,4,4,20
33,100,50,0.7,3,close,5,4,4,4,4,4,20
34,100,100,0.7,3,close,5,4,4,4,4,4,20
35,100,200,0.7,3,close,5,4,4,4,4,4,20
36,100,300,0.7,3,close,5,4,4,4,4,4,20
37,100,50,0.3,1,wide,5,4,4,4,4,4,20
38,100,100,0.3,1,wide,5,4,4,4,4,4,20
39,100,200,0.3,1,wide,5,4,4,4,4,4,20
40,100,300,0.3,1,wide,5,4,4,4,4,4,20
41,100,50,0.5,1,wide,5,4,4,4,4,4,20
42,100,100,0.5,1,wide,5,4,4,4,4,4,20
43,100,200,0.5,1,wide,5,4,4,4,4,4,20
44,100,300,0.5,1,wide,5,4,4,4,4,4,20
45,100,50,0.7,1,wide,5,4,4,4,4,4,20
46,100,100,0.7,1,wide,5,4,4,4,4,4,20
47,100,200,0.7,1,wide,5,4,4,4,4,4,20
48,100,300,0.7,1,wide,5,4,4,4,4,4,20
49,100,50,0.3,2,wide,5,4,4,4,4,4,20
50,100,100,0.3,2,wide,5,4,4,4,4,4,20
51,100,200,0.3,2,wide,5,4,4,4,4,4,20
52,100,300,0.3,2,wide,5,4,4,4,4,4,20
53,100,50,0.5,2,wide,5,4,4,4,4,4,20
54,100,100,0.5,2,wide,5,4,4,4,4,4,20
55,100,200,0.5,2,wide,5,4,4,4,4,4,20
56,100,300,0.5,2,wide,5,4,4,4,4,4,20
57,100,50,0.7,2,wide,5,4,4,4,4,4,20
58,100,100,0.7,2,wide,5,4,4,4,4,4,20
59,100,200,0.7,2,wide,5,4,4,4,4,4,20
60,100,300,0.7,2,wide,5,4,4,4,4,4,20
61,100,50,0.3,3,wide,5,4,4,4,4,4,20
62,100,100,0.3,3,wide,5,4,4,4,4,4,20
63,100,200,0.3,3,wide,5,4,4,4,4,4,20
64,100,300,0.3,3,wide,5,4,4,4,4,4,20
65,100,50,0.5,3,wide,5,4,4,4,4,4,20
66,100,100,0.5,3,wide,5,4,4,4,4,4,20
67,100,200,0.5,3,wide,5,4,4,4,4,4,20
68,100,300,0.5,3,wide,5,4,4,4,4,4,20
69,100,50,0.7,3,wide,5,4,4,4,4,4,20
70,100,100,0.7,3,wide,5,4,4,4,4,4,20
71,100,200,0.7,3,wide,5,4,4,4,4,4,20
72,100,300,0.7,3,wide,5,4,4,4,4,4,20
73,100,50,0.3,1,close,5,2,2,2,2,2,10
74,100,100,0.3,1,close,5,2,2,2,2,2,10
75,100,200,0.3,1,close,5,2,2,2,2,2,10
76,100,300,0.3,1,close,5,2,2,2,2,2,10
77,100,50,0.5,1,close,5,2,2,2,2,2,10
78,100,100,0.5,1,close,5,2,2,2,2,2,10
79,100,200,0.5,1,close,5,2,2,2,2,2,10
