Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,20,14,60,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,15,14,65,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,18,18,58,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,19,15,60,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,22,18,54,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,21,15,58,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,23,14,57,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,20,17,57,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,15,11,68,AIC
4,100,200,0.3,1,close,5,5,5,5,5,5,20,5,16,16,62,AIC
