Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.4424540000593415,4.698656708564576,4.660956364482857,4.850742861654735,4.100032777227274,5,9.449440815161342,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.4424540000593415,4.698656708564576,4.660956364482857,4.850742861654735,4.100032777227274,6,9.449440815161342,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.436367169452162,4.704462113880421,4.657681444473485,4.917364361138921,4.093297807891811,7,9.446894805427483,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.811774312158527,4.814973233360148,4.511442734499578,4.591989729493336,4.432278656154403,8,3.3476128459238805,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.919166830018177,4.799111015218443,4.396182166471364,4.380390354542719,4.540257051772568,9,2.645073214687007,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.836705619750635,4.7421095208628845,4.388782605659016,4.5059619794184265,4.517776530003655,10,2.361708618136774,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.835229000191302,4.748369546180098,4.252151765183018,4.51874668970769,4.497443594568709,11,2.3452720161606866,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.842923528731352,4.752980368571679,4.281292141009763,4.495547331386188,4.5045505883411625,12,2.2912448143499113,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.854478499169752,4.376473264680389,4.305531382258404,4.569195703256746,4.545322400313007,13,2.186339964953684,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.834335261689771,4.458533088122999,4.374525636551793,4.752520702384408,4.5312475988516425,14,1.7497448407380862,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.845600387874764,4.533862745157471,4.354970935282076,4.727077035866287,4.5309033026151075,15,1.7232926729021918,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.832036059817619,4.481917355952293,4.315664895973432,4.671477143518583,4.531534283562282,16,1.6818937959280218,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.140767479343039,4.543292161492646,4.184042670799254,4.538222687681904,4.392354457158705,17,1.2617535078538318,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,4.147271715724975,4.3499684653153,4.1337867534085815,4.5171712424687955,4.423196494491036,18,1.2263638496344973,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.9803905465155207,4.306111742146441,4.170876660347182,4.66872759997939,3.8498607654377164,19,0.9622216844451921,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.9759345324215847,4.311363905634092,4.156995507765696,4.662151049376399,3.8300252316667063,20,0.9561230965223269,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.8830186342266764,4.412229891559337,4.1057856550788046,4.681685135640471,3.8011457162002045,21,0.8899195517692426,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.874664615624758,4.374823566053653,4.119915484059498,4.460181820489008,3.812994566515038,22,0.8491705206639624,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.8840675118259314,4.388372113606398,4.123784203974151,4.46771955518605,3.835951970757988,23,0.8402448282690981,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.8801843510176934,4.394930293737753,4.1895636346359115,4.467527655967052,3.6866752404628538,24,0.799780863064437,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.8875137081697995,4.4170360979062755,4.205095577693061,4.50528860277748,3.679597561455811,25,0.7953624377651077,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.7613816228473285,4.287794587749801,4.242499438087411,4.4886701850525705,3.8266481115723225,26,0.7143796623673035,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.7612702387647654,4.287955607417597,4.24251163088095,4.488713000602059,3.826523152476599,27,0.7143792917999351,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.773375193974279,4.275630328095808,4.281502351117714,4.519054927983933,3.8219545706554934,28,0.7047383554890833,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.773175337494064,4.274827471143872,4.282170312452811,4.519248924695491,3.8198986243891078,29,0.7047064434348961,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.7687988528722784,4.277615030854779,4.277228945401312,4.530633107598832,3.80155389420746,30,0.7036233187435842,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.7704206010421535,4.278819747480353,4.278721734320347,4.5292697283422845,3.8009426755004623,31,0.703603527009247,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.7671574397552368,4.273069062969868,4.279414993146815,4.528235824764666,3.8056812213747757,32,0.7034375518050897,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
119,100,200,0.7,1,wide,5,2,2,2,2,2,10,3.7412836388139845,4.266126772762171,4.289045418639921,4.516248110231684,3.793637113765069,33,0.6983877998047152,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method3
