Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,prop.s2,prop.s3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.479861823068613,6.839585692487061,8.84559932921705,6.804787923475136,8.998944596182735,5,1466.3918114148912,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.479861823068613,6.839585692487061,8.84559932921705,6.804787923475136,8.998944596182735,6,1466.3918114148912,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.998632536245775,7.121197974768826,7.540820225014014,6.731730245842035,2.9261546160208316,7,1437.9853111859873,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,10.824229346031938,8.834136581697624,6.808756365023461,9.961070886545043,7.649143614128932,8,443.5672392154989,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,8.862807208289661,11.01351278554532,6.920286354102259,10.86644199824425,4.719265841404642,9,261.2586455056057,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,7.608690262041594,9.837835174665168,6.424881424049258,9.131397988217943,5.416134873252085,10,223.11583628797263,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,8.284541599757084,6.974294736526153,6.074662838605683,8.507521027759456,5.568328475647883,11,212.7077567505836,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,7.81554919994275,5.544041846615489,6.251223023681521,8.823605788488534,4.7976978931572924,12,188.53484928411848,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,7.578221541174196,3.152354423920686,6.454588403621617,9.03653636835833,3.8513695718942316,13,178.05258381595874,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,7.281048909559008,2.5349223543826103,5.91431953304291,8.811126796413648,3.6790969041300863,14,169.88233336543374,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,7.737236946120808,3.3730293203623782,-0.061294008176807864,10.058931684584719,3.3833963005580094,15,140.18355439983478,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,7.533217592145383,3.30493106711213,0.21992334250777373,10.286686358782221,3.083902733623877,16,128.39599388335753,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,7.686347700476162,3.451795021016443,0.7224175644507687,7.870866540859193,3.245241894393012,17,122.75619645025193,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,3.681079285780737,3.0696957047005777,1.4459104272673338,6.4418828652321185,3.39102667994933,18,108.75152826134513,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,5.952270460127869,2.7500628309551995,1.1003580206385442,6.982879249904008,2.4121451109799437,19,73.29972662560554,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,6.947507399310457,2.3635060558343173,2.155589552343136,6.585387338021946,2.8901307373286325,20,63.28669680369471,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,6.150061014332054,2.496213740087114,2.2630920962065737,6.7340437348391475,2.9314911913952866,21,59.13529336835006,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,6.010054121147595,2.4022305081477318,2.47504669931743,6.69524556495916,3.011344393984213,22,57.686895577858316,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,5.9918602732507305,2.3869288506886726,2.377335049490044,6.675987996696741,2.9991614441096983,23,57.67391281106345,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,5.524089859985769,2.442779862691334,2.105325380015961,7.345580463210916,2.6647396780028543,24,54.65306093325047,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,5.2681817140434175,2.4168148089400163,2.1117584928102042,6.697809384287851,2.6985340319112714,25,52.443011555458156,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,5.009653709908804,2.5405366386874206,2.2537186935412414,6.522344500599022,2.846798839251128,26,51.74673449833738,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,4.060899542276575,3.0107680924367433,3.222930822207142,6.932860057045642,3.0751116112217245,27,45.04266617135098,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.7650447742336803,2.7054930432547186,3.2254979354536357,7.222324924287347,2.5937895257384223,28,41.800503265612754,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,4.20003019333122,2.86792542202317,1.1212131972834707,7.650419463012706,2.519627025674408,29,33.60179370528918,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,3.1954582952693484,3.325632035089702,1.456719944616596,6.879141648240405,1.4922462705571573,30,25.63263095422091,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.6243750410213145,3.467563866328283,1.3018630934748028,6.671916646039877,0.9489962703526528,31,24.31187536134215,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.987230054124553,3.460221172732221,1.3156571047335666,5.143159070022433,0.6017258633874352,32,19.134928869052764,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.5022982482216385,3.6893422912496523,1.1141823183540356,5.229228389102895,0.7645127194114522,33,17.061026613020605,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.2111677185612306,3.9490047957540013,1.4814884691143944,5.389605701631787,0.7311693557249309,34,15.715378943930094,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
