Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,prop.s2,prop.s3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,5.509800411333128,3.1121552785408197,3.3195170189900614,1.9130189729410725,3.2776127315000037,5,205.61411303685028,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,5.509800411333128,3.1121552785408197,3.3195170189900614,1.9130189729410725,3.2776127315000037,6,205.61411303685028,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,5.464779154373596,2.680618478515516,3.3406446657151405,2.0294044257959016,3.2781483847381945,7,204.95533273419863,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,4.618636606197561,4.46846538661098,2.5827310865295954,1.300388781488368,3.2911779675267883,8,134.91884964613675,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,4.239616180227414,2.3455045356301456,2.6551613175880107,1.5062496051682643,3.300535193617118,9,92.32273743639544,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,4.7258563272131084,2.4508493492509094,2.2338215692655874,1.8054486278088753,2.951268018154506,10,84.3332602432295,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,4.167644296814007,2.069065729521624,2.076614496772824,2.1373378457317664,2.7672681677859203,11,79.24781441148637,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.604818502261588,2.5097815947545477,2.884412946690989,2.2257918216932366,2.501749633000582,12,65.43872159988345,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.1589422011038715,2.494672392294364,2.9452267505366714,2.4368591819716245,2.829590566703434,13,51.70856353177854,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.289040092171452,1.9523492047422184,3.1306242094916836,3.1163200893232053,3.136173259897164,14,43.19882551302298,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.7103136958215313,1.5952502791165224,3.3220819124299696,3.498203860377502,1.7825227163780797,15,37.063252291933026,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.7841406272600056,2.0285734740848964,3.395715936219961,3.7055056097759764,1.4508273174123871,16,32.87806087117069,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.52783254455168,2.0179536309261685,3.1644030033568447,3.685067636617051,1.483409034845332,17,28.464961817402028,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.343048175911016,2.20512456362235,2.898795505724589,3.4881205860332907,1.5415435037955614,18,27.041367578830954,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.300664118081915,1.7332405256457097,3.16325469770686,3.612396002472751,1.5801815851244518,19,20.620326541026163,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.344347670073934,1.6876395803543112,3.1611895123321,3.631519872688512,1.9319662663858213,20,18.06640986730483,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
