"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias","v2_bias","v3_bias","v4_bias","v5_bias","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,5,"1",1.44310307637941,1.53020766682127,1.52613601722608,1.43849278671146,1.45791066398533,4.964294653984,5.38207060550484,6.36767463203485,5.47063285070278,6.84261991087528,463.787215605204
"2",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,6,"1",1.44310307637941,1.53020766682127,1.52613601722608,1.43849278671146,1.45791066398533,4.964294653984,5.38207060550484,6.36767463203485,5.47063285070278,6.84261991087528,463.787215605204
"3",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,7,"1",1.37397541598016,1.42560810396519,1.47081523033095,1.25410326159373,1.4761028994193,7.06370000152237,6.75689897609467,5.79642825719751,5.24322112803899,10.3455181738667,440.205101760227
"4",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,8,"1",1.27275218339599,1.32862624563549,1.40622525733789,1.17492370200167,1.33504410965121,7.46692921406154,7.25494284929945,6.59453168107338,6.02177617168834,9.43614136518795,422.740789807396
"5",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,9,"1",1.22770253327705,1.24730036801023,1.35131826286679,1.09862034956766,1.2854756055408,8.45368964725416,7.53289899320741,7.13825424794803,6.47467910064476,10.4619094203349,406.226166196734
"6",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,10,"1",1.19478675301185,1.25050668446292,1.30062519902156,1.02823090719916,1.26122486850759,9.09406349849116,8.55330115449154,8.65590496846645,6.22465609562778,10.6769489642966,391.009951088092
"7",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,11,"1",1.12178145314985,1.19049116795079,1.19203751091491,0.984663742255457,1.1899915222596,9.40750193117833,8.05549415038862,8.95117598256565,6.7257079530934,10.0770537757821,376.136440671681
"8",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,12,"1",1.13260341103639,1.15093091085483,1.17760656663532,0.996291506425739,1.14181790608585,9.8138668770354,7.98161415038956,9.19910450037068,7.19230775801212,9.42443379664059,361.358967345008
"9",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,13,"1",1.06848297454792,1.11413374694598,1.14291374152495,0.978628077845413,1.12460693265184,8.75154378506825,8.02509242475362,8.88157505853861,7.28487353581554,9.88545703490334,350.513709059654
"10",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,14,"1",1.02779173597282,1.05570932352427,1.091207018502,0.976378911721999,1.06672088867587,8.76601590521835,7.45262039784494,8.71990333633813,7.41743055031155,9.20288945296166,339.190726206643
