"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias","v2_bias","v3_bias","v4_bias","v5_bias","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,5,"4",0.084673718149775,0.074719720208052,0.0843905747818145,0.0781155044732542,0.0829132452047069,0.127532402974734,0.176268455430251,0.163522732919303,0.170063834745654,0.126742335484915,9.64669081578003
"2",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,6,"4",0.084673718149775,0.074719720208052,0.0843905747818145,0.0781155044732542,0.0829132452047069,0.127532402974734,0.176268455430251,0.163522732919303,0.170063834745654,0.126742335484915,9.64669081578003
"3",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,7,"4",0.0812070389841663,0.0729662152889224,0.0796896560157445,0.0771261580499865,0.0815598927869139,0.135261299533111,0.166448183385444,0.15044373171174,0.185047155152516,0.130781077458695,9.10990842603607
"4",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,8,"4",0.0815395570644017,0.0728791083241795,0.0812992502231285,0.0758550173581233,0.0811236385171691,0.133483926336003,0.172879995272387,0.153743908564366,0.179599882907636,0.136976012963534,8.61837533519246
"5",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,9,"4",0.0795691918720258,0.0711200761212979,0.0832295918905565,0.0757831618549645,0.0817619948511755,0.130466764410792,0.169379110781397,0.175912583379995,0.187425664100931,0.142525949233044,8.08405545945015
"6",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,10,"4",0.0735545774551416,0.072524649143363,0.0804518304208768,0.0714810878437151,0.0801892814144078,0.122729623523709,0.185814063357563,0.167457689377415,0.180282208198687,0.139133128447599,7.52651294138149
"7",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,11,"4",0.0708157133487147,0.0709805479793048,0.0780451021775304,0.0676995390875825,0.0770718125957224,0.121938163009837,0.177022921718687,0.17039911877433,0.159654850731072,0.130028825806145,6.9354306951579
"8",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,12,"4",0.0694237837970566,0.0679007015361218,0.0754491630757699,0.0642456874398647,0.0741059676198575,0.115691048216505,0.172477731614565,0.16605850670394,0.147623501759161,0.128119362204054,6.45959654117539
"9",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,13,"4",0.0692698826142259,0.0666100678648063,0.0739029979769961,0.060116651222316,0.0727746339620804,0.122628635253281,0.166700384186601,0.166291446030617,0.143889700450646,0.12804711316577,6.10091170773014
"10",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,14,"4",0.0665615897127812,0.063893232520933,0.0693546265500524,0.0608073550239767,0.0718235736992719,0.119049949513251,0.155156817726716,0.150541438243848,0.143633376609717,0.126645083847147,5.67338483976923
"11",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,15,"4",0.0644893248402042,0.0608618683313427,0.0662137365444684,0.0597672190603301,0.0697337046923661,0.104058650062706,0.152643112149399,0.148328331159489,0.130707649231715,0.123482137484098,5.17062656085621
"12",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,16,"4",0.0633105178624947,0.0591024241425009,0.0642249516918148,0.0582351183822429,0.0672259002531878,0.10756483207442,0.143201940885891,0.139232304399596,0.126698165582232,0.122939483225489,4.8705616833465
"13",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,17,"4",0.0622577165215567,0.0571590577219626,0.0631559870840133,0.0565074299591975,0.0659883891326662,0.100487441981576,0.137168879744979,0.142193331609041,0.126303885020856,0.121551243408601,4.58990482251287
"14",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,18,"4",0.0587696098782246,0.0569602132278996,0.062430964696508,0.0564858567112223,0.0633618057230638,0.0946215636272961,0.134796016750445,0.142888137497142,0.126973544346866,0.115743826998073,4.32138917125425
"15",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,19,"4",0.0591673551742425,0.0541797100126346,0.0625684813138551,0.0559261524889805,0.0606079256600148,0.0969913251585137,0.1322534871517,0.137478433122216,0.130489989230784,0.105229086289904,4.02391065862674
"16",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,20,"4",0.0589526139938674,0.055043518763068,0.0589529274690704,0.0560161853629533,0.060853033630767,0.0965397401160254,0.134451672965278,0.122974887613428,0.130444058403979,0.107559964284257,3.76504074517806
"17",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,21,"4",0.0595208611201027,0.0540134531266019,0.0567039039297534,0.0554028524243666,0.0588425307094645,0.101171605747235,0.131643506213675,0.110110860688151,0.131501666817467,0.102164756366957,3.53153089683704
"18",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,22,"4",0.0586667920729985,0.0533502238908004,0.0528896823718976,0.0519658589556866,0.0556840479519137,0.101644868070177,0.131633745023813,0.100013965557522,0.125439974831793,0.0960812467232524,3.27873003131254
"19",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,23,"4",0.0599706696760623,0.0526195124829447,0.0484388255611322,0.0492456022420359,0.0549889397870524,0.101962266227603,0.137123692181873,0.0856190710992327,0.118511370144075,0.0990662802528627,3.01698247979225
"20",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,24,"4",0.0584978804785386,0.0495783175137168,0.0449770590344532,0.0500440293164798,0.0540449397630087,0.101332798958139,0.127551143357383,0.0768293357147646,0.11955750093592,0.0961233673322024,2.81258022763142
"21",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,25,"4",0.0541667217230223,0.0492723914990159,0.0408750796879032,0.0507475911615033,0.0524069986347006,0.0915616384885734,0.12226454936668,0.0747567483218672,0.113792141890599,0.0865173726774111,2.59696087173646
"22",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,26,"4",0.0496391420104453,0.0478736675574609,0.0398691340021416,0.0482209994892973,0.051482118325096,0.0806529871407816,0.115757272670251,0.0667544438395139,0.107153361430748,0.0857342314221031,2.41412891534948
"23",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,27,"4",0.0482777670928623,0.046374986670624,0.0401179635623472,0.046137326738392,0.050653951528079,0.0772640275608056,0.106442077170397,0.0672454984514393,0.100130183920657,0.0878697626454995,2.24422984219343
"24",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,28,"4",0.0465191104719892,0.0432459145441075,0.0406531004316082,0.0420574082225553,0.0509697150971122,0.0750692092979337,0.101691937675748,0.0682985110478334,0.0862804162533381,0.0900324096123783,2.07829656499583
"25",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,29,"4",0.0464176407158519,0.0433916533014314,0.0394944566794932,0.0418531634756123,0.0498040395676665,0.0756203529759663,0.100252609896201,0.0623463698360563,0.0817784589218112,0.0888688906760949,1.93845179411803
"26",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,30,"4",0.0436007287566117,0.0426543284692105,0.0373803637295262,0.0418011464516796,0.048258011738685,0.0719929337784949,0.0960600405419496,0.0600093847334925,0.0880529919201945,0.0866040012234758,1.82968143558592
"27",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,31,"4",0.0407715055441831,0.0428204008368938,0.0376826851344916,0.0407012120732125,0.046928733708191,0.0656709553215861,0.0929054850630024,0.0603885972665534,0.0820371993018961,0.0842926502436302,1.72518662946091
"28",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,32,"4",0.0409468325961046,0.042728743581566,0.0373241247623346,0.0395273364583396,0.0447632999430378,0.0649902898961922,0.0961449628680099,0.0582695424898685,0.0805127472134353,0.0794017932717786,1.58094821526771
"29",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,33,"4",0.0403769181942633,0.0422024796104756,0.0367034912182017,0.037459228676265,0.0437969879003773,0.0676789837600276,0.094940025122679,0.0614577747357482,0.0790966638857684,0.0808837703978108,1.48077491208359
"30",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,34,"4",0.0414167930736142,0.0395441551741458,0.0355058321032299,0.0376742614826902,0.04134231763756,0.0702098436611342,0.0864770441619142,0.057506797694963,0.0769235937740533,0.0751826118115518,1.38732882928921
"31",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,35,"4",0.0382369818799909,0.0383572903110954,0.0352261885570154,0.0351919754178701,0.0400504550181929,0.0623416198140236,0.0833748175876087,0.0582575525341812,0.070340919417914,0.0731771289193979,1.30396716660706
"32",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,36,"4",0.0368698819833563,0.0374128356738283,0.0342253474524866,0.0353875196216052,0.039223591222321,0.0577613252684054,0.0830848590751546,0.060173079408252,0.0694242534273607,0.0693859683160834,1.2193223538478
"33",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,37,"4",0.0376675042912744,0.0377584613408863,0.0363487847148858,0.0345853688343171,0.038129744907344,0.0630216726558943,0.0841568082284394,0.0623389759217003,0.0697965500215017,0.0708204422140942,1.13801586993604
"34",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,38,"4",0.0378776985963463,0.038243136063067,0.0362421864991911,0.0332352559455689,0.0382482343966999,0.0634950698610973,0.0858113601226647,0.060163971045454,0.0685067930962712,0.0699157182038964,1.11912547279815
"35",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,39,"4",0.0373762461875828,0.0385704426873256,0.0360872749809919,0.0333813477943749,0.0390777076610181,0.0646296746302371,0.0859390962684856,0.0596596033962598,0.0714991296073637,0.070167265959699,1.09167960584462
"36",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,40,"4",0.0378523134901629,0.038204513917506,0.0367836923083263,0.0329166551039851,0.0392904643069776,0.0657272064696364,0.0883209459895987,0.0613689743682844,0.07179591864606,0.0717512832105628,1.07393203480494
"37",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,41,"4",0.0389445861989485,0.0387899784146161,0.0371564476053006,0.0336832221201396,0.0389357248520522,0.0675962689787715,0.0907843606688907,0.0633747256483556,0.0733915274107154,0.071206714163319,1.05631447741455
"38",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,42,"4",0.0385984055907411,0.0396431331222727,0.0365915576019598,0.0351969260379523,0.0387555955696589,0.0674924620530591,0.0935291581180387,0.0619967725680381,0.0763376857538232,0.071165612216356,1.03965432112666
"39",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,43,"4",0.0383371411553067,0.0393974665643641,0.0367131800660448,0.0354194449850174,0.0393724393176467,0.0650272959416945,0.0936153529348093,0.062565775589336,0.0757070458696404,0.0722921447387659,1.01608437188887
"40",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,44,"4",0.0382058070210657,0.0402795585744219,0.0378633735489871,0.0363690046287505,0.0397315305876944,0.0651518580963917,0.0936457040588449,0.0645980086607814,0.0760294250843203,0.0708694437266501,1.00023750209291
"41",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,45,"4",0.0373777009527812,0.0419264919551651,0.0378695304054433,0.0377678668011285,0.0402340441851064,0.0647953586922731,0.095332821088821,0.0665159824407044,0.074711483993608,0.0703544462378123,0.983159984951906
"42",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,46,"4",0.038028859006641,0.04244751653424,0.0390208755414627,0.0382010287364433,0.0404562504833477,0.0670843983821256,0.0957076702957841,0.0663815827634332,0.0759639688855801,0.0711160262917757,0.963129599668529
"43",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,47,"4",0.0391356682671628,0.0424847739823337,0.039455848240334,0.038604938466744,0.0408581685743244,0.0699391924046088,0.0964613436272737,0.0664365630982927,0.076816591515249,0.0719406901847058,0.948020435621018
"44",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,48,"4",0.040296482772594,0.0431557934028658,0.0386375870239842,0.039529157509359,0.0410685683233622,0.0720892999744538,0.0969359801471457,0.062697864845967,0.0797239814562306,0.0759385054623715,0.932312205171975
"45",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,49,"4",0.0401455236699629,0.0422601851338371,0.0390609137419228,0.0398228726536701,0.0410624048265071,0.0732182417827778,0.0952998958806477,0.0647236094900919,0.0807099917785838,0.076390345878442,0.918613648825636
"46",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,50,"4",0.0406558194456372,0.0423676830223213,0.038748675434884,0.0390660689175231,0.0411536164841811,0.074952608885594,0.0962101694398662,0.065894356252076,0.0772918320346363,0.0784499795577861,0.900332147005884
"47",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,51,"4",0.0406158110063935,0.0429973429996654,0.0381081111399108,0.0398684597396455,0.0422016527009639,0.0750355933950494,0.0973359334906372,0.0664897841029337,0.0799506909783967,0.0792152382520133,0.882035475103258
"48",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,52,"4",0.0405413223238442,0.0424659243585924,0.0390330317719255,0.0390194461788347,0.0429429895335687,0.073778343917011,0.0975258547628126,0.0672083914386731,0.0803625180147252,0.0814468767190463,0.864841390345437
"49",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,53,"4",0.0398146428980429,0.0434588573638672,0.0401112861253469,0.0393586900770005,0.0436625455425938,0.0713531496971204,0.0985253994169983,0.0710055007077315,0.0796703731284224,0.0850945202656282,0.845088141014276
"50",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,54,"4",0.0395892094507028,0.0442414357036957,0.04048055120268,0.0394055081492611,0.0440861567885522,0.0695632204747158,0.101712406504951,0.0702975188480801,0.0786435727979558,0.0852099673227141,0.827304324874155
"51",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,55,"4",0.0397553333212354,0.0445450892135123,0.0406650646141952,0.038746805856317,0.0443033493904788,0.0699774545149121,0.102622713737035,0.0716140169844781,0.0782472873662686,0.0855582129460343,0.812382228070712
"52",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,56,"4",0.0394948237206038,0.0448600843695988,0.0408551059284546,0.040398500119045,0.0434971147122373,0.0688720661693968,0.102668746721295,0.0722105164246731,0.081264978782227,0.0840502288727547,0.79513972551912
"53",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,57,"4",0.0401948138992598,0.0443359429845216,0.0405442749561319,0.040777594797865,0.0436854100425953,0.0706079106134584,0.100687579669514,0.0717864347482123,0.0801824009800844,0.0845712937196213,0.775397148542339
"54",56,100,300,0.5,2,"wide",5,4,4,4,4,4,20,58,"4",0.0399134803497115,0.0455876179706891,0.0404652305762515,0.0410150748274803,0.0429463326273986,0.0699888544076934,0.103590423831882,0.0723946157287024,0.0798635882898787,0.084881937274164,0.760275996533633
