"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias_mean","v2_bias_mean","v3_bias_mean","v4_bias_mean","v5_bias_mean","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,5,"Method1",3.436275322567,3.6638279273436,3.66372406566078,3.46677021700347,3.53102366461416,4.964294653984,5.38207060550484,6.36767463203485,5.47063285070278,6.84261991087528,463.787215605204
"2",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,6,"Method1",3.436275322567,3.6638279273436,3.66372406566078,3.46677021700347,3.53102366461416,4.964294653984,5.38207060550484,6.36767463203485,5.47063285070278,6.84261991087528,463.787215605204
"3",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,7,"Method1",3.48153902455394,3.56975765415554,3.50637948063792,3.45892404651288,3.47499488189964,4.68204369286262,4.12656443097499,4.75770865274574,4.38687058302364,5.81980370376783,374.790885046605
"4",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,8,"Method1",3.45746192840578,3.61996244690326,3.48594918440315,3.47021302668524,3.49356746759584,3.74400848589173,3.57581270718154,4.00095153432863,3.45587876845069,5.37091735749658,306.764205992092
"5",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,9,"Method1",3.45833180447029,3.49968054036957,3.48231786354099,3.43977114144048,3.45489624320679,3.37961645713351,3.20081020389119,3.26595082732427,3.26679950868346,4.51542249587537,266.706984293591
"6",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,10,"Method1",3.41165637999544,3.34518652596954,3.53842613381435,3.31585105777237,3.4463331314899,2.84099903999098,2.90316806570635,2.98256444385889,3.01240172811676,3.90282683790058,234.113213630691
"7",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,11,"Method1",3.37438326696031,3.29018885332262,3.49963064783947,3.19539915908824,3.40066942855317,2.64960498881639,2.49820799156986,2.83585640549735,2.83036904762781,3.37975941817354,205.031432938453
"8",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,12,"Method1",3.36511042456729,3.32048177012718,3.51754248271254,3.1866866922084,3.44832326998873,2.45337745980557,2.29030327536074,2.38440056998712,2.5976114966226,3.12114953508187,185.095367283167
"9",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,13,"Method1",3.41442665965391,3.3445616687884,3.45186785365565,3.1674921818549,3.4818589997672,2.17129228176268,2.00361435857445,2.08924246322639,2.22532723885136,2.88368475560472,170.38929032051
"10",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,14,"Method1",3.4213477422004,3.2801118266494,3.4569777946787,3.16193850893547,3.48558650133312,1.90297929780416,1.94092950992997,2.12332292735773,2.22841158886426,2.82514134819501,158.316462336172
"11",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,15,"Method1",3.46624362331047,3.29601789651453,3.39360146869177,3.12280551467433,3.39655343600344,1.73941534998548,1.96046471274223,2.27536179713725,2.156513646269,2.78057341151047,147.307675192528
"12",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,16,"Method1",3.47333465387974,3.30984662561515,3.43997381706861,3.14660294278943,3.3872834513501,1.76830920338431,2.13271493946683,2.28465744357893,2.18847177385214,2.64015546152592,139.472306812917
"13",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,17,"Method1",3.49161434425398,3.26824882311586,3.44806933446503,3.18924643555642,3.40252910989819,1.72753951254525,2.10697148626597,2.16949336543516,2.09490600400839,2.59613464511238,132.985240388026
"14",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,18,"Method1",3.53101336595528,3.22793784411185,3.47010441488046,3.17345696336348,3.40835652353688,1.77219381368751,2.04418075912337,2.1927187976975,2.08833159499939,2.59404113650197,127.377778047221
"15",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,19,"Method1",3.54625368069001,3.16606383258666,3.47823570103168,3.15307694720399,3.38606219935562,1.69164389906107,2.12172265092604,2.24347223348953,1.91560490347799,2.5989611032398,122.154103829349
"16",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,20,"Method1",3.57221793168575,3.16648296522901,3.50067493604879,3.13066146498281,3.42764806156298,1.7387488611122,1.97662662854297,2.1845593929027,1.79483408454166,2.62814579284763,118.329744186078
"17",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,21,"Method1",3.61679304945135,3.21508207467347,3.46386680720508,3.16751302553351,3.38256378557656,1.68493184995431,1.96238261279478,2.21115819793238,1.77748744153837,2.53583313278963,114.495151768184
"18",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,22,"Method1",3.61910150297326,3.17848387531443,3.40775180571404,3.18692406170573,3.32913898140989,1.64632160072051,1.96830876263515,2.09066213200703,1.76070536738476,2.45931131812415,110.370172767104
"19",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,23,"Method1",3.69617216809774,3.19665564433238,3.4011064379248,3.21921407357149,3.32919237089764,1.67134533077271,2.0661235482447,2.18750883475351,1.70913647780871,2.41396137579198,107.327140724784
"20",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,24,"Method1",3.70367160183647,3.17784889838982,3.34356328073392,3.21160779857168,3.31960382011307,1.67678940417011,2.17124801738909,2.18605411985678,1.64100201462112,2.38584122763641,104.762487989273
"21",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,25,"Method1",3.67286428659738,3.19016655881014,3.32347036505033,3.19271907462791,3.34699119421618,1.76896200695516,2.18868079724263,2.24564419525176,1.65541045975564,2.31089961290353,102.743191210795
"22",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,26,"Method1",3.70298202308448,3.19997785462538,3.31567298742489,3.23576268739466,3.35239723581841,1.7692450520574,2.31052431516696,2.14027784744672,1.78203254731797,2.25705293683814,100.450354150923
