"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias_mean","v2_bias_mean","v3_bias_mean","v4_bias_mean","v5_bias_mean","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,5,"Method4",2.07210842571773,2.15777784492192,2.12556115898924,2.12621034208564,2.05468507606134,2.42651959966149,2.31777865704753,2.13452841495317,2.24589959719435,2.63674803075534,215.468309353584
"2",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,6,"Method4",2.07210842571773,2.15777784492192,2.12556115898924,2.12621034208564,2.05468507606134,2.42651959966149,2.31777865704753,2.13452841495317,2.24589959719435,2.63674803075534,215.468309353584
"3",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,7,"Method4",2.03296653389191,1.94031783979862,1.97238166617003,1.99039688716196,1.93521887149516,2.1888384233222,2.26045961407081,1.96024511681111,2.09605621156372,2.084319450385,161.68646285317
"4",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,8,"Method4",1.99113981510317,1.95433832332697,1.83995952586357,1.92005816595617,1.81766358280186,2.1794521076219,2.46526750133087,1.43841858307475,1.74190131686526,1.85249334209493,123.174739347497
"5",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,9,"Method4",1.80900838148291,1.77578058614013,1.7004311636269,1.69011546668431,1.72504340100825,1.67158404749839,1.94310036223527,1.46188302326912,1.56985968146092,1.62157371403788,95.4066051432008
"6",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,10,"Method4",1.59274248863628,1.71022202654245,1.64983614053772,1.51783356600196,1.58578183160957,1.46159507404901,1.91472911751017,1.38144054416191,1.43726575694337,1.6683147831684,74.5127046300314
"7",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,11,"Method4",1.44130996973229,1.56138671366831,1.51126171612393,1.44142215755921,1.4773292744387,1.3471429365471,1.74721570222528,1.19251112681405,1.2424210409601,1.4631480208644,61.3767430678214
"8",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,12,"Method4",1.388127207349,1.51210322144723,1.38231121421544,1.36133260219511,1.32460843399014,1.24309782475196,1.59466437563115,1.16539356715071,1.07577633934337,1.32771284042164,51.2077552651162
"9",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,13,"Method4",1.31982689332516,1.31670421211295,1.28655211661007,1.28322922912408,1.24337849223103,1.23358055778567,1.42940835283085,1.08047807073548,0.940259408139719,1.25618160324694,42.654004353712
"10",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,14,"Method4",1.21266512448242,1.22155023682568,1.20954291472914,1.18890100408567,1.19887227113326,1.14799168644829,1.36569589380818,1.00853239836868,0.970635396606296,1.24594077488745,36.7111820816511
"11",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,15,"Method4",1.12846021231344,1.07936427062278,1.10781328276928,1.0325106752535,1.14022159730932,1.07999195869314,1.22237434005091,0.922882283021381,0.875741769223236,1.16301581003995,31.6728970649489
"12",78,100,100,0.5,1,"close",5,2,2,2,2,2,10,16,"Method4",1.06707236895055,1.06506251594786,1.0477397036442,0.999498391325065,1.033669032185,1.01416909741212,1.25790136614709,0.932561843687767,0.779931205020704,0.926353501406448,26.9497048655375
