"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias_mean","v2_bias_mean","v3_bias_mean","v4_bias_mean","v5_bias_mean","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,5,"Method4",3.5400187353077,2.80225544575558,3.22635782128159,2.94084916460074,3.10205733979917,10.3767638393253,9.36549853980474,8.52130387967592,7.16023651531592,9.63522973036167,681.486319318467
"2",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,6,"Method4",3.5400187353077,2.80225544575558,3.22635782128159,2.94084916460074,3.10205733979917,10.3767638393253,9.36549853980474,8.52130387967592,7.16023651531592,9.63522973036167,681.486319318467
"3",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,7,"Method4",3.27551058530963,2.67650635718159,2.85918771777741,2.79506110689168,2.94267589672026,8.83318505830172,7.6429989948566,6.96327758659047,6.00133562793404,8.54847137420362,564.801962737679
"4",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,8,"Method4",3.04839193021914,2.46961165106441,2.81428722320775,2.77447720831776,2.99411872464864,6.60716554359528,5.59532176688279,6.53227105619538,6.01773735479306,8.25770235224658,479.09049662226
"5",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,9,"Method4",2.78605709077136,2.4871493445343,2.65405913913063,2.71773910459791,2.77337457755809,5.38012418577007,5.97494986532105,5.4780150245511,5.81406878595579,7.13545131693433,410.069912501872
"6",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,10,"Method4",2.658097753503,2.40241369782315,2.49987370038453,2.62280811753998,2.67596048780404,4.77062395556361,5.57596681038649,4.68868990071432,5.44358398933355,6.22354368502639,360.272284897799
"7",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,11,"Method4",2.55590574378024,2.28635201554401,2.43123077696964,2.58191587905139,2.65551494383503,4.94065855849143,4.59341502764483,4.20194013688733,5.13511580391506,5.98494942498748,316.37583365807
"8",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,12,"Method4",2.4820797127888,2.29808422234801,2.26768715259994,2.58481336008197,2.51261784843661,4.5815127700279,4.2972151768379,3.33368928571938,5.27885356826453,5.26063018146398,282.807058447279
"9",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,13,"Method4",2.36803476102497,2.15354280300442,2.10160070608659,2.42399377938233,2.43540036511433,3.94730133711234,4.16752044031956,2.95936246613694,4.84780819262828,5.04079472201203,256.995475539929
"10",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,14,"Method4",2.29266470328071,2.11692378323263,1.97333212782876,2.2723753596482,2.33172940079168,3.52568108064556,3.96266665293738,2.74831906426302,4.48715320480816,4.57863257020561,231.17446338964
"11",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,15,"Method4",2.16905912442431,1.94865584369487,2.00293984188213,2.17058362067927,2.32178014728928,3.23610129967894,3.72050970120974,2.65658319674604,4.173640443414,4.28867160971752,211.17059262789
"12",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,16,"Method4",2.17169038191556,1.83407283034728,1.86687700539323,2.10218822737452,2.20304973196848,3.25616273108698,3.69188343498854,2.46608594389385,4.06371941147442,3.89942600081662,193.123958118626
"13",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,17,"Method4",2.02377286296111,1.80588623972,1.75591397228244,2.01669965980771,2.04885527164787,3.07403273986517,3.38699067184078,2.36467931118869,4.08510502443806,3.41088528194939,178.113236605832
"14",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,18,"Method4",1.99276882480424,1.800504851384,1.6866633268978,1.93500571583044,2.07214796762219,2.94763078185389,3.27275652996749,2.36561690225901,3.98612126200203,3.6403413961929,161.920076564713
"15",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,19,"Method4",1.97625446076523,1.78111683686444,1.67680964626662,1.8379143255129,1.95496110476902,3.23228273854167,3.19799594158065,2.6080571953579,3.55033938129598,3.51385444756323,148.114673641751
