Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,12,14,68,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,16,13,65,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,13,66,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,16,63,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,11,16,67,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,16,16,62,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,12,16,66,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,16,17,61,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,14,65,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,13,14,67,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,10,11,73,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,13,16,65,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,13,66,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,12,18,64,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,14,14,66,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,13,9,72,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,12,13,69,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,17,14,63,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,13,66,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,15,64,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,11,11,72,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,12,67,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,13,66,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,18,15,61,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,14,12,68,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,16,15,63,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,13,66,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,14,65,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,15,11,68,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,13,13,68,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,17,12,65,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,13,14,67,AIC
39,100,200,0.3,1,wide,5,4,4,4,4,4,20,5,11,14,69,AIC
