Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,31,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,53,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,44,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,39,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,55,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,36,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,18,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,32,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,59,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,37,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,46,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,42,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,61,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,32,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
