Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,cv.lambda,VselecMethod
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,9,9,156,2.2554412058979902e-14,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,8,31,0.07098472391887985,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,7,52,0.03450215590373633,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,9,10,62,0.023108955094702267,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,9,17,0.11482699699126034,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,3,8,27,0.08332805932591805,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,3,8,54,0.03184439837668466,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,31,0.0769091625617282,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,3,6,33,0.06046979937611887,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,9,9,195,2.8060066928070785e-15,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,6,30,0.07098472391887985,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,7,37,0.06046979937611887,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,7,55,0.03184439837668466,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,9,28,0.07098472391887985,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,7,8,27,0.07098472391887985,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,8,29,0.0769091625617282,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,9,43,0.04388193684298046,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,6,42,0.05581171178009766,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,8,50,0.029391372260977485,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,2,5,18,0.11482699699126034,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,34,0.04754435641726351,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,9,35,0.0769091625617282,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,7,9,44,0.06046979937611886,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,31,0.0769091625617282,Lasso
